1,Analiza problemów i strategie ich rozwiązywania,1,zdalny,3
2,Planowanie dalszego rozwoju i nauki,1,zdalny,2
3,Instalacja i konfiguracja środowiska pracy,1,zdalny,2
4,Projektowanie i implementacja rozwiązań,1,zdalny,5
5,Fundamenty teoretyczne i podstawowe pojęcia,1,zdalny,3
6,Tworzenie dynamicznych komponentów i elementów,2,zdalny,4
7,Podstawowe operacje i pierwsze kroki,2,zdalny,5
8,Praktyczne ćwiczenia na podstawie rzeczywistych przykładów,2,zdalny,4
9,Integracja zewnętrznych bibliotek i narzędzi,3,zdalny,2
10,Implementacja architektury projektu,3,zdalny,2
11,Wprowadzenie do kursu i celów nauki,3,zdalny,4
12,Praca z danymi wejściowymi i wyjściowymi,3,zdalny,3
13,Zaawansowane techniki i optymalizacja procesów,3,zdalny,2
14,Przegląd narzędzi i technologii używanych w kursie,4,zdalny,5
15,Realizacja projektu końcowego i prezentacja wyników,4,zdalny,2
16,"Debugowanie, testowanie i poprawa jakości kodu",4,zdalny,5
17,Automatyzacja i zarządzanie procesami,4,zdalny,5
18,Najlepsze praktyki w projektowaniu i wdrażaniu,5,zdalny,3
19,Egzamin końcowy weryfikujący wiedzę,5,zdalny,5
20,Przygotowanie dokumentacji technicznej,5,zdalny,5
