MeetingID,MeetingTypeID,SubjectID,Meeting_date,Link,LanguageID,TranslatorID,Price,StationaryID,RoomID
478,2,20,2025-01-04 14:45:00,https://teams.microsoft.com/l/meetup-join/x2da4lwotf3n8l23syb1,3,103,49.99,,
224,2,6,2024-10-09 13:00:00,https://teams.microsoft.com/l/meetup-join/fgwmp5rq0fc4f8o8mfwg,6,,29.99,,
412,2,16,2023-12-05 10:00:00,https://teams.microsoft.com/l/meetup-join/cia9ey3b10yvly796zgu,6,,29.99,,
160,2,3,2024-04-30 13:00:00,https://teams.microsoft.com/l/meetup-join/fhp75hep26lcth8d277a,2,107,59.99,,
177,2,4,2024-04-26 14:45:00,https://teams.microsoft.com/l/meetup-join/m2g2g8wedew8xlyjdd7n,6,,59.99,,
710,1,20,2025-01-28 11:15:00,,6,,49.99,18,128
441,2,18,2024-03-18 14:45:00,https://teams.microsoft.com/l/meetup-join/k27w36mf7ghk3xzhxo3a,6,,49.99,,
119,2,1,2024-12-04 11:15:00,https://teams.microsoft.com/l/meetup-join/56av6s0rzpkb9kdsii0e,6,,49.99,,
297,2,11,2024-11-07 14:45:00,https://teams.microsoft.com/l/meetup-join/xkkv15t5vcd0vtvdia3u,6,,49.99,,
403,2,16,2024-10-13 14:45:00,https://teams.microsoft.com/l/meetup-join/xpofuinliwvfuvor9m81,6,,29.99,,
156,2,3,2024-04-01 13:00:00,https://teams.microsoft.com/l/meetup-join/j2hcpwq2z0o5btn8as4c,6,,29.99,,
338,2,12,2023-11-27 14:45:00,https://teams.microsoft.com/l/meetup-join/1kooa4auhipmqlmj2z1k,6,,29.99,,
283,2,10,2024-12-29 14:45:00,https://teams.microsoft.com/l/meetup-join/imoun3rghzzf09dlhdvs,6,,29.99,,
375,2,15,2025-01-16 14:45:00,https://teams.microsoft.com/l/meetup-join/vws8q9khvlzlab025oa7,6,,59.99,,
292,2,10,2024-01-17 11:15:00,https://teams.microsoft.com/l/meetup-join/vw7tbf9otd5xcs4ywucw,2,106,49.99,,
390,2,16,2023-11-23 13:00:00,https://teams.microsoft.com/l/meetup-join/2dclnzvvxqedfz6jyxwo,5,100,49.99,,
400,2,16,2024-01-18 10:00:00,https://teams.microsoft.com/l/meetup-join/7nqa7hjouzi1khf06m6d,6,,29.99,,
356,2,14,2024-06-02 14:45:00,https://teams.microsoft.com/l/meetup-join/zlgxoyuvxubnwwxpzp7m,6,,59.99,,
395,2,16,2024-10-14 14:45:00,https://teams.microsoft.com/l/meetup-join/y2gjt75sjselpz3hrjax,5,102,59.99,,
409,2,16,2025-01-13 10:00:00,https://teams.microsoft.com/l/meetup-join/kmh1wyk45a8escg7keku,6,,49.99,,
421,2,17,2024-11-19 13:00:00,https://teams.microsoft.com/l/meetup-join/bd9hu9nyg4rmzcwx66wd,6,,49.99,,
447,2,18,2024-05-26 11:15:00,https://teams.microsoft.com/l/meetup-join/5kddwc2xvoyzgj27dydq,6,,49.99,,
282,2,10,2023-10-14 11:15:00,https://teams.microsoft.com/l/meetup-join/3pxljhg3z7lua7dxfsd5,6,,49.99,,
298,2,11,2023-11-18 10:00:00,https://teams.microsoft.com/l/meetup-join/r9qul10c0yvokj01lhr6,6,,29.99,,
349,2,13,2024-02-18 10:00:00,https://teams.microsoft.com/l/meetup-join/xhu4rxc0oa3oep6yvmlc,6,,49.99,,
112,2,1,2023-12-29 11:15:00,https://teams.microsoft.com/l/meetup-join/pod0iocbfljgnlh2ub6d,6,,59.99,,
393,2,16,2024-11-06 13:00:00,https://teams.microsoft.com/l/meetup-join/gr397r4y0ut3h8j02vdu,6,,29.99,,
638,1,7,2024-01-25 11:15:00,,6,,29.99,5,103
275,2,9,2024-05-15 14:45:00,https://teams.microsoft.com/l/meetup-join/lbecnwkdr8nf879zk25p,6,,49.99,,
